Year,ID,Please indicate your graduation status.,Please provide your year of enrollment (graduation year for graduates),Are you currently employed?,Are you pursuing a major other than Library and Information Science(LIS)?,Did you have a career goal when you entered school?,What is your intended career path at the time of admission?,Do you currently have a career goal?,What career path do you intend to pursue currently?,Why aren't you currently pursuing a career path?,"If your career aspirations have changed since you entered school, what prompted the change?",What influenced your career aspirations then and now?,What are your usual career concerns?,How do you usually approach concerns regarding your career?,What are your favorite topics in the library and information science curriculum?,Describe any supplementary courses you'd wish to be introduced within the Department of LIS,What are the benefits of a multidisciplinary major?,What are the disadvantages of a multidisciplinary major?,Do you believe that obtaining a multidisciplinary major will enhance your employment prospects?,Did you choose a multidisciplinary major during your undergraduate program?,What multidisciplinary major have you chosen?,"If you've designed your own major(self-design major) or pursued multiple majors, please provide a list of all the majors included in your program.",What influenced your decision to pursue this multidisciplinary major?,What are some of the challenges and issues you faced while completing a multidisciplinary program?,What influenced your choice to not complete a multidisciplinary major?,How do you usually get information about employment?,Did you feel that information within the department was adequately shared about employment opportunities (when you were an undergraduate student),What is your preferred method of sharing information about employment within your department?,What career enrichment programs do you think are needed in the LIS?,What career-related programs do you think are needed in the LIS?,Please write any desired career-related programs in LIS that were not mentioned in the above options.,How do you think we should communicate with undergraduate students and alumni?,What career paths do you think are available to a LIS major?,Please write any possible career paths for LIS majors that aren't mentioned in the above options.,What field of work are you currently in or aiming for?,What type of library do you work in or want to work in?,What is your desired/current specific occupation?,What is your desired/current job area?,Please write in any additional desired or current career field.,What annual salary range are you hoping for or currently earning?,How long do you expect/did it take to become prepared for employment?,Are you currently taking any steps to prepare for your desired career path and future employment?,What specific activities or preparations are you currently undertaking/did you previously engage in to position yourself for your desired career path?,What has stopped you from pursuing your desired career path?,What was the toughest hurdle you faced while getting prepared for your job/career field?,What is the most important value for you when choosing a career path after getting a job?,What is your second most important value when choosing a career path?,What is your third most important value when choosing a career path?,Did your work values change after starting your job/career?,What has become the most important factor for you when considering career paths after gaining work experience?,What has become the second most important factor for you when considering career paths after gaining work experience?,What has become the third most important factor for you when considering career paths after gaining work experience?,How satisfied are you with your current job?,Would you recommend your current workplace to undergraduate students in the LIS?,"Are you considering going to graduate school, or have you already attended?",Which graduate school do you want to attend or have you attended?,"When do you plan to start graduate school, or when did you actually start your studies?",What is the purpose of attending graduate school?,What were some of the challenges you faced while getting ready for graduate school?,Why haven't you thought about attending graduate school?,Do you plan to go to graduate school in the future?,What graduate school are you interested in attending in the future?
2023,20230103,Undergraduate students,2023,N/A,No,Yes,Librarians;Teacher librarians,Yes,Librarians;Teacher librarians;Universities(Professor or Staff);Data specialist;Developers (programmers);Other,N/A,Recognize realistic limitations;Identify new aptitudes/interests,Classes in the Department of Library and Information Science;Explore career-related information,"No place to get career information;I'm thinking about a career, but I don't have a clear direction",Browse resources;Keep to yourself,Information Science,N/R,Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),Strongly agree,No,N/A,N/A,N/A,N/A,Intend to take the course in the future (haven't started yet);Didn't have the opportunity due to the high grades cutoff for your desired multidisciplinary major,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Disagree,LIS official Instagram;Mail (sharing job information via personal email);LIS group chatting;Regular meetings between alumni and current students,Conferences/Studies;Mentoring from department seniors and incumbents,Career-related roadmaps;Roadmap for taking courses,N/R,Meet with current students/alumni face-to-face;Everytime(student online community),Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Government employees (except librarians);Law school;Self-employed,N/R,Other,N/A,N/A,N/A,E,Over 50 million won and under 55 million won,E,Yes,Grades;Practical exercise/Internship;External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Organizational culture,Salary,Job security,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in other university as undergraduate,After graduation and getting a job,Self-development;To be a professor,High tuition fees;Lack of information about the content of the study,N/A,N/A,N/A
2023,20230104,Undergraduate students,2021,N/A,No,Yes,Librarians;Teacher librarians,Yes,Librarians;Teacher librarians,N/A,Your desired career path is not different at either time,Desired career path is not different at either time,Other,Browse resources;Keep to yourself,Classification and cataloging,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Time burden (possible extra semester),Strongly agree,No,N/A,N/A,N/A,N/A,No interest or need for a multidisciplinary major,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.);The University's Career Center (e.g. Rainbow System)",Agree,LIS official Instagram;LIS website;Mail (sharing job information via personal email);LIS group chatting;Regular meetings between alumni and current students;Lectures about career,Conferences/Studies;Mentoring from department seniors and incumbents,Career-related roadmaps;Roadmap for taking courses,N/R,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face;LIS website;LIS official Instagram",Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Journalist;Private enterprise;Public enterprise;Government employees (except librarians);Law school;Self-employed,N/R,Librarians,National libraries;Public libraries,N/A,N/A,N/A,Over 20 million won and under 25 million won,E,No,N/A,"I have a career path in mind, but I'm not sure what I want to do.",Lack of employment information;Lack of employment opportunities;Social awareness,Aptitude and interest,Organizational culture,Salary,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2023,20230105,Undergraduate students,2023,N/A,No,No,N/A,No,N/A,Lack of values about the direction of your personal life;Lack of information about possible career paths for LIS majors,No desired career path in either period,No desired career path in either period,"I'm thinking about a career, but I don't have a clear direction",Browse resources;Keep to yourself,Information Science,N/R,Interdisciplinary opportunities;Expand your career options,Workload burden;Time burden (possible extra semester);Weakened expertise,Agree,No,N/A,N/A,N/A,N/A,Intend to take the course in the future (haven't started yet),"Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,Regular meetings between alumni and current students;Lectures about career,Conferences/Studies;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Job fairs and career consulting;Personnel guest lectures,Career Exploration Program,N/R,Meet with current students/alumni face-to-face;LIS website;LIS official Instagram;Everytime(student online community),Librarians;Teacher librarians;Archivist;Universities(Professor or Staff);Self-employed,N/R,Private enterprise,N/A,IT/Internet,N/A,N/A,Over 55 million won,E,Yes,Grades;Earn certifications;Language preparation;Extracurricular activities (clubs/sororities/societies/studies/etc.);External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Salary,Aptitude and interest,Job security,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2023,20230106,Undergraduate students,2023,N/A,No,No,N/A,No,N/A,Lack of values about the direction of your personal life;You don't know what you like yet,No desired career path in either period,No desired career path in either period,"I don't know what I'm interested in;I'm thinking about a career, but I don't have a clear direction",Keep to yourself,Information Science,Statistics,Interdisciplinary opportunities;Expand your career options,Time burden (possible extra semester),Agree,No,N/A,N/A,N/A,N/A,Intend to take the course in the future (haven't started yet),"Private recruitment sites (e.g. Job Korea, Saramin, etc.)",Neither agree nor disagree,Lectures about career,Mentoring from department seniors and incumbents,Career-related roadmaps;Roadmap for taking courses;Book recommendations about career;Career Exploration Program,N/R,Meet with current students/alumni face-to-face,Librarians,N/R,Private enterprise,N/A,E,N/A,N/A,Over 55 million won,E,No,N/A,I don't have a set career path.,Lack of employment opportunities,Salary,Aptitude and interest,Society perception,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Lack of information about graduate school,N/A,N/A
2023,20230107,Undergraduate students,2023,N/A,No,Yes,Data specialist;Developers (programmers),Yes,Data specialist;Developers (programmers),N/A,Your desired career path is not different at either time,Desired career path is not different at either time,"I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Browse resources;Keep to yourself,Information Science,Deeper data analysis,Interdisciplinary opportunities;Expand your career options,Time burden (possible extra semester),Strongly agree,No,N/A,N/A,N/A,N/A,Intend to take the course in the future (haven't started yet),"Internet portal sites (e.g. Google, Naver, etc.)",Agree,LIS website;Mail (sharing job information via personal email);Regular meetings between alumni and current students,Conferences/Studies;Talk/meet with a professor;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Roadmap for taking courses,N/R,LIS group chatting;Meet with current students/alumni face-to-face,Librarians;Archivist;Data specialist;Public enterprise,N/R,Private enterprise,N/A,E,N/A,N/A,Over 55 million won,E,Yes,Grades;Earn certifications,N/A,N/A,Organizational culture,Work-Life balance,Salary,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Other department in other university as undergraduate,Immediately after graduation,Self-development;Get ready for work;Strengthening of expertise,Lack of information about admission;Lack of information about the content of the study,N/A,N/A,N/A
2023,20230108,Undergraduate students,2019,N/A,No,No,N/A,Yes,Data specialist;Developers (programmers),N/A,Identify new aptitudes/interests,Classes in the Department of Library and Information Science;Contests/Projects;Professors,"I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Browse resources,Information Science,Deeper data analysis;Statistics,Interdisciplinary opportunities,Workload burden;Time burden (possible extra semester),Neither agree nor disagree,Yes,Convergence major-Software Humanities,N/A,Related to my interests and aptitudes;Advantageous to get good grades,Burden of amount of studies,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);The University's Career Center (e.g. Rainbow System)",Disagree,LIS website;Regular meetings between alumni and current students,Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Roadmap for taking courses,N/R,"Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face;LIS website",Librarians;Teacher librarians;Data specialist,N/R,Private enterprise,N/A,E,N/A,N/A,Over 35 million won and under 40 million won,E,Yes,Practical exercise/Internship;Extracurricular activities (clubs/sororities/societies/studies/etc.),N/A,N/A,Aptitude and interest,Salary,Work-Life balance,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,Immediately after graduation,Get ready for work;Strengthening of expertise,High tuition fees;Lack of information about admission;Lack of information about the content of the study,N/A,N/A,N/A
2023,20230109,Undergraduate students,2020,N/A,No,No,N/A,Yes,Journalist;Private enterprise,N/A,Identify new aptitudes/interests,Other major classes;Contests/Projects,I don't know what I'm interested in,Browse resources,Information Science,N/R,Interdisciplinary opportunities,Credit burden,Agree,Yes,Convergence major-Game and Interactive Media,N/A,Related to my interests and aptitudes;To fulfill career requirements;To broaden your job search,Lack of information,N/A,"Internet portal sites (e.g. Google, Naver, etc.)",Agree,Lectures about career,Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps,N/R,"LIS group chatting;Meet with current students/alumni non-face-to-face (ZOOM, etc.);LIS official Instagram",Journalist;Private enterprise,N/R,Private enterprise,N/A,Management/Office,N/A,N/A,Over 30 million won and under 35 million won,E,Yes,Grades;Practical exercise/Internship;Extracurricular activities (clubs/sororities/societies/studies/etc.),N/A,N/A,Salary,Aptitude and interest,Work-Life balance,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,High tuition fees;Dissatisfaction with graduate education;Lack of information about graduate school,N/A,N/A
2023,20230110,Undergraduate students,2017,N/A,No,Yes,Librarians,Yes,Data specialist,N/A,Recognize realistic limitations;Identify new aptitudes/interests;Losing interest in academic-related jobs,Classes in the Department of Library and Information Science,"I'm thinking about a career, but I don't have a clear direction",Browse resources,Library management,N/R,Interdisciplinary opportunities;Expand your career options,Workload burden,Agree,Yes,Convergence major-Software Humanities,N/A,Related to my interests and aptitudes;To fulfill career requirements,Nothing,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,Mail (sharing job information via personal email);Lectures about career,Conferences/Studies;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps,N/R,LIS group chatting;Meet with current students/alumni face-to-face,Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist,N/R,Private enterprise,N/A,E,N/A,N/A,Over 30 million won and under 35 million won,E,Yes,Earn certifications;Practical exercise/Internship;External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Aptitude and interest,Job security,Self-realization,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,High tuition fees;Other,N/A,N/A
2023,20230111,Undergraduate students,2019,N/A,No,Yes,Teacher librarians;Archivist,Yes,Data specialist;Developers (programmers);Private enterprise,N/A,Recognize realistic limitations,Other major classes;Failed to complete curriculum for teaching profession;The exchange student experience,I don't know what I'm interested in,Discuss with friends;Browse resources,Classification and cataloging,N/R,Interdisciplinary opportunities,Time burden (possible extra semester),Agree,Yes,Joint major-Distribution management,N/A,To broaden your job search,Lack of information;Difficulty signing up for a course;Difficulty organizing timetables;Curriculum dissatisfaction,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.);Job fairs at corporate/government and related organizations",Disagree,Mail (sharing job information via personal email);Regular meetings between alumni and current students,Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Job fairs and career consulting,Career-related roadmaps;Roadmap for taking courses,N/R,"Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face",Librarians;Teacher librarians;Universities(Professor or Staff);Data specialist;Private enterprise,N/R,Private enterprise,N/A,E,N/A,N/A,Over 40 million won and under 45 million won,E,Yes,Language preparation,N/A,N/A,Society perception,Aptitude and interest,Job security,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2023,20230112,Undergraduate students,2023,N/A,No,Yes,Librarians;Teacher librarians,No,N/A,Lack of values about the direction of your personal life;You don't know what you're good at yet;You don't know what you like yet,Recognize realistic limitations;Identify new aptitudes/interests,Classes in the Department of Library and Information Science;Other major classes,"I don't know what I'm interested in;I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Keep to yourself,Information Service,N/R,Expand your career options,Credit burden;Workload burden,Strongly agree,No,N/A,N/A,N/A,N/A,Intend to take the course in the future (haven't started yet),"Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS official Instagram;LIS group chatting;Regular meetings between alumni and current students,Conferences/Studies;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps,N/R,LIS group chatting;Meet with current students/alumni face-to-face;LIS official Instagram,Librarians;Teacher librarians;Archivist;Data specialist;Private enterprise;Public enterprise;Government employees (except librarians),N/R,Private enterprise,N/A,Management/Office,N/A,N/A,Over 30 million won and under 35 million won,E,No,N/A,I don't have a set career path.;I thought it was too early to prepare,Psychological pressure;Lack of employment opportunities,Salary,Self-realization,Job security,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research;High tuition fees,N/A,N/A
2023,20230113,Undergraduate students,2019,N/A,No,No,N/A,No,N/A,You don't know what you're good at yet;You don't know what you like yet,No desired career path in either period,No desired career path in either period,"I don't know what I'm interested in;I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Browse resources,Information Science,N/R,Interdisciplinary opportunities,Workload burden;Time burden (possible extra semester),Neither agree nor disagree,Yes,Convergence major-Cultural Content,N/A,"Compromise with reality (low grades/insufficient time, etc.)",Lack of information;Difficulty organizing timetables,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.);Job fairs at corporate/government and related organizations",Neither agree nor disagree,LIS official Instagram;Lectures about career,Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Roadmap for taking courses,N/R,Meet with current students/alumni face-to-face;LIS official Instagram,Librarians;Teacher librarians;Publishing;Archivist;Data specialist;Developers (programmers);Private enterprise;Public enterprise;Government employees (except librarians);Self-employed,N/R,Public enterprise,N/A,E,N/A,N/A,Over 45 million won and under 50 million won,E,Yes,Practical exercise/Internship,N/A,N/A,Job security,Salary,Aptitude and interest,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2023,20230114,Undergraduate students,2021,N/A,No,Yes,Librarians,Yes,Librarians,N/A,Your desired career path is not different at either time,Desired career path is not different at either time,"I don't know what I'm interested in;I'm thinking about a career, but I don't have a clear direction",Discuss with friends;Browse resources,Classification and cataloging,N/R,Interdisciplinary opportunities,Credit burden;Time burden (possible extra semester),Agree,Yes,Minor-Department of English Language and Literature,N/A,Related to my interests and aptitudes,Burden of contents of studies;Difficulty signing up for a course;Difficulty organizing timetables,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS official Instagram,Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Personnel guest lectures,Career-related roadmaps;Career Exploration Program,N/R,LIS group chatting;Meet with current students/alumni face-to-face;LIS official Instagram,Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Journalist;Private enterprise;Public enterprise;Government employees (except librarians);Law school;Self-employed,N/R,Librarians,Public libraries,N/A,N/A,N/A,Over 30 million won and under 35 million won,E,No,N/A,I thought it was too early to prepare,Social awareness,Aptitude and interest,Job security,Salary,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research;High tuition fees,N/A,N/A
2023,20230115,Undergraduate students,2020,N/A,No,No,N/A,Yes,Data specialist;Developers (programmers);Private enterprise;Public enterprise;Self-employed,N/A,Identify new aptitudes/interests,Classes in the Department of Library and Information Science;Other major classes;Conferences/Small Groups;Club activity;Contests/Projects;Internship;Professors,"I'm thinking about a career, but I don't have a clear direction",Talk to your seniors;Ask a professor for a consultation;Browse resources;Keep to yourself,Information Science,Deeper data analysis,Interdisciplinary opportunities,Workload burden,Agree,Yes,Self-designed major,Self-designed major-College of Software/Department of Applied Statistics/Department of Sociology,Related to my interests and aptitudes;To fulfill career requirements;To broaden your job search;To expand knowledge of your major;Advantageous to get good grades,Lack of information;Difficulty organizing timetables,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.);The University's Career Center (e.g. Rainbow System)",Disagree,Mail (sharing job information via personal email);LIS group chatting;Regular meetings between alumni and current students;Lectures about career,Mentoring from department seniors and incumbents;Talk/meet with a professor;Job fairs and career consulting;Personnel guest lectures,Career-related roadmaps;Roadmap for taking courses;Book recommendations about career;Career Exploration Program,N/R,Meet with current students/alumni face-to-face;LIS website,Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Journalist;Private enterprise;Public enterprise;Government employees (except librarians);Law school;Self-employed,N/R,Private enterprise,N/A,E,N/A,N/A,Over 45 million won and under 50 million won,E,Yes,Grades;Practical exercise/Internship;Extracurricular activities (clubs/sororities/societies/studies/etc.),N/A,N/A,Aptitude and interest,Salary,Society perception,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,Immediately after graduation,Self-development;Get ready for work;Strengthening of expertise,Other,N/A,N/A,N/A
2023,20230116,Undergraduate students,2020,N/A,No,Yes,Librarians;Teacher librarians;Archivist,Yes,Data specialist;Developers (programmers);Private enterprise;Public enterprise,N/A,Recognize realistic limitations;Identify new aptitudes/interests;Losing interest in academic-related jobs,Classes in the Department of Library and Information Science;Club activity;Contests/Projects;Internship;Upper classmen;Professors,"I'm thinking about a career, but I don't have a clear direction",Talk to your seniors;Ask a professor for a consultation;Browse resources,Information Science,N/R,Interdisciplinary opportunities;Expand your career options,Time burden (possible extra semester);Weakened expertise,Neither agree nor disagree,Yes,Multi major-College of Software,N/A,Related to my interests and aptitudes;To fulfill career requirements;To broaden your job search;To expand knowledge of your major,Burden of amount of studies;Burden of contents of studies;Difficulty signing up for a course;Difficulty organizing timetables,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.);The University's Career Center (e.g. Rainbow System)",Neither agree nor disagree,LIS official Instagram;LIS group chatting;Lectures about career,Conferences/Studies;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Job fairs and career consulting,Career-related roadmaps,N/R,LIS website;LIS official Instagram;Everytime(student online community),Librarians;Teacher librarians;Publishing;Archivist;Data specialist;Developers (programmers);Private enterprise;Public enterprise;Government employees (except librarians),N/R,Private enterprise,N/A,E,N/A,N/A,Over 50 million won and under 55 million won,E,Yes,Earn certifications;Practical exercise/Internship,N/A,N/A,Salary,Aptitude and interest,Job security,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,Immediately after graduation,Self-development;Get ready for work;Strengthening of expertise,High tuition fees,N/A,N/A,N/A
2023,20230117,Undergraduate students,2020,N/A,No,Yes,Librarians,Yes,Teacher librarians,N/A,Other,Grades,Other,other,Classification and cataloging,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),Strongly agree,Yes,Multi major-School of Business Administration,N/A,Related to my interests and aptitudes,Burden of amount of studies,N/A,"Internet portal sites (e.g. Google, Naver, etc.)",Agree,Regular meetings between alumni and current students;Lectures about career,Conferences/Studies;Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Job fairs and career consulting;Personnel guest lectures,Career Exploration Program,N/R,Meet with current students/alumni face-to-face,Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Journalist;Private enterprise;Public enterprise;Government employees (except librarians);Law school;Self-employed,You can do anything,Librarians,E,N/A,N/A,N/A,Over 25 million won and under 30 million won,E,Yes,Grades;Volunteer activity;External activities (supporters/societies/clubs/studies/etc.),N/A,N/A,Work-Life balance,Self-realization,Society perception,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Other,N/A,N/A
2023,20230118,Undergraduate students,2018,N/A,No,No,N/A,No,N/A,Lack of values about the direction of your personal life;Not yet thinking about a career path;You don't know what you're good at yet,Your desired career path is not different at either time;Identify new aptitudes/interests,Other major classes;Conferences/Small Groups,I don't know what I'm interested in,Discuss with friends;Browse resources,Information Science,N/R,Interdisciplinary opportunities,Credit burden;Time burden (possible extra semester),Neither agree nor disagree,Yes,Joint major-Distribution management,N/A,"Compromise with reality (low grades/insufficient time, etc.);Don't want to choose an advanced majors",Nothing,N/A,"Internet portal sites (e.g. Google, Naver, etc.);Job fairs at corporate/government and related organizations",Neither agree nor disagree,LIS website;Mail (sharing job information via personal email),Conferences/Studies;Mentoring from department seniors and incumbents;Talk/meet with a professor,Career-related roadmaps,N/R,LIS official Instagram,Teacher librarians;Private enterprise,N/R,E,E,E,E,E,Over 55 million won,E,Yes,Practical exercise/Internship,N/A,N/A,Salary,Organizational culture,Job security,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Other department in other university as undergraduate,Immediately after graduation,Get ready for work;Strengthening of expertise,Lack of information about admission;Lack of information about the content of the study;Difficulty contacting professors/labs,N/A,N/A,N/A
2023,20230119,Undergraduate students,2021,N/A,No,Yes,Librarians;Teacher librarians,Yes,Other,N/A,Identify new aptitudes/interests,Explore career-related information,No worries,Browse resources,Library management,N/R,Interdisciplinary opportunities;Expand your career options,Time burden (possible extra semester),Agree,No,N/A,N/A,N/A,N/A,No interest or need for a multidisciplinary major;Didn't have the opportunity due to the high grades cutoff for your desired multidisciplinary major,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Government job sites (e.g. WorkNet, WorldJob, etc.)",Disagree,LIS website;Mail (sharing job information via personal email);LIS group chatting,Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship),Career-related roadmaps;Roadmap for taking courses;Book recommendations about career;Career Exploration Program,N/R,Meet with current students/alumni face-to-face;LIS website;LIS official Instagram,Librarians,N/R,Private enterprise,N/A,E,N/A,N/A,Over 55 million won,E,Yes,Grades;Earn certifications;Language preparation,N/A,N/A,Aptitude and interest,Salary,Job security,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
2023,20230120,Undergraduate students,2023,N/A,No,Yes,Librarians;Teacher librarians;Publishing,Yes,Librarians;Teacher librarians;Publishing;Universities(Professor or Staff);Private enterprise;Public enterprise,N/A,Your desired career path is not different at either time;Other,Explore career-related information;Upper classmen;Professors;Grades,"I'm thinking about a career, but I don't have a clear direction",Talk to your seniors;Browse resources;Keep to yourself,Information Service,N/R,Interdisciplinary opportunities;Expand your career options,Credit burden;Workload burden;Time burden (possible extra semester),Strongly agree,No,N/A,N/A,N/A,N/A,Intend to take the course in the future (haven't started yet),"Government job sites (e.g. WorkNet, WorldJob, etc.);Internet portal sites (e.g. Google, Naver, etc.)",Neither agree nor disagree,LIS official Instagram;LIS website;Regular meetings between alumni and current students;Lectures about career,Conferences/Studies;Mentoring from department seniors and incumbents;Talk/meet with a professor;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Job fairs and career consulting;Personnel guest lectures,Career-related roadmaps;Roadmap for taking courses;Book recommendations about career;Career Exploration Program,N/R,"Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face;LIS website;LIS official Instagram",Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Private enterprise;Public enterprise;Self-employed,N/R,Librarians,E,N/A,N/A,N/A,Over 30 million won and under 35 million won,E,Yes,Grades;Extracurricular activities (clubs/sororities/societies/studies/etc.),N/A,N/A,Aptitude and interest,Job security,Salary,N/A,N/A,N/A,N/A,N/A,N/A,Yes,LIS in same university as undergraduate,Immediately after graduation,Strengthening of expertise;To be a professor,Lack of information about admission;Lack of information about the content of the study,N/A,N/A,N/A
2023,20230121,Undergraduate students,2021,N/A,No,Yes,Librarians;Teacher librarians;Public enterprise,Yes,Private enterprise,N/A,Recognize realistic limitations;Identify new aptitudes/interests,Other major classes;Explore career-related information,No place to get career information,Browse resources;Browse in Everytime;Keep to yourself,Library management,Reading;Library Management/Planning,Interdisciplinary opportunities;Expand your career options;Expand your connections,Weakened expertise,Agree,Yes,Multi major-Department of Applied Statistics,N/A,"To broaden your job search;Compromise with reality (low grades/insufficient time, etc.)",Lack of information,N/A,"Private recruitment sites (e.g. Job Korea, Saramin, etc.);Internet portal sites (e.g. Google, Naver, etc.);The University's Career Center (e.g. Rainbow System)",Disagree,LIS group chatting;Regular meetings between alumni and current students;Lectures about career,Conferences/Studies;Mentoring from department seniors and incumbents;Institutional/Academic/Employment Linkage Programs (Practicum/Internship);Personnel guest lectures,Career-related roadmaps;Roadmap for taking courses;Career Exploration Program,N/R,"Meet with current students/alumni non-face-to-face (ZOOM, etc.);Meet with current students/alumni face-to-face",Librarians;Teacher librarians;Publishing;Archivist;Universities(Professor or Staff);Data specialist;Developers (programmers);Government employees (except librarians),N/R,Private enterprise,N/A,Management/Office,N/A,N/A,Over 40 million won and under 45 million won,E,Yes,Grades;Earn certifications;Volunteer activity,N/A,N/A,Aptitude and interest,Salary,Society perception,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Not interested in research,N/A,N/A
